ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_hierarchical/S_16,16,0.9408602150537635,1.0,0.9695290858725762
work_dir/clustering_space/cls_kmeans/S_15,15,0.9408602150537635,1.0,0.9695290858725762
work_dir/clustering_space/cls_hierarchical/S_15,15,0.9408602150537635,1.0,0.9695290858725762
work_dir/clustering_space/cls_kmeans/S_16,16,0.9408602150537635,0.9983870967741936,0.9687704016383912
work_dir/clustering_space/cls_kmeans/S_18,18,0.9510869565217391,0.9629032258064516,0.9569586165204169
work_dir/clustering_space/cls_kmeans/S_13,13,0.9067357512953368,1.0,0.951086956521739
work_dir/clustering_space/cls_hierarchical/S_17,17,0.9408602150537635,0.9580645161290322,0.9493844299126877
work_dir/clustering_space/cls_kmeans/S_14,14,0.9020618556701031,1.0,0.948509485094851
work_dir/clustering_space/cls_hierarchical/S_14,14,0.9020618556701031,1.0,0.948509485094851
work_dir/clustering_space/cls_hierarchical/S_18,18,0.9510869565217391,0.9376344086021505,0.9443127742127116
work_dir/clustering_space/cls_hierarchical/S_13,13,0.8793969849246231,1.0,0.9358288770053477
work_dir/clustering_space/cls_kmeans/S_12,12,0.8793969849246231,1.0,0.9358288770053477
work_dir/clustering_space/cls_hierarchical/S_12,12,0.8793969849246231,1.0,0.9358288770053477
work_dir/clustering_space/cls_kmeans/S_11,11,0.8706467661691543,1.0,0.9308510638297873
work_dir/clustering_space/cls_hierarchical/S_11,11,0.8706467661691543,1.0,0.9308510638297873
work_dir/clustering_space/cls_hierarchical/S_19,19,0.9510869565217391,0.9048387096774193,0.927386597645992
work_dir/clustering_space/cls_kmeans/S_17,17,0.9408602150537635,0.9139784946236559,0.9272245597631291
work_dir/clustering_space/cls_hierarchical/S_10,10,0.8620689655172413,1.0,0.9259259259259259
work_dir/clustering_space/cls_kmeans/S_9,9,0.8578431372549019,1.0,0.9234828496042216
work_dir/clustering_space/cls_hierarchical/S_9,9,0.8578431372549019,1.0,0.9234828496042216
work_dir/clustering_space/cls_kmeans/S_10,10,0.8536585365853658,1.0,0.9210526315789475
work_dir/clustering_space/cls_kmeans/S_8,8,0.8536585365853658,1.0,0.9210526315789475
work_dir/clustering_space/cls_hierarchical/S_8,8,0.8495145631067961,1.0,0.9186351706036746
work_dir/clustering_space/cls_hierarchical/S_7,7,0.8454106280193237,1.0,0.9162303664921466
work_dir/clustering_space/cls_hierarchical/S_6,6,0.8454106280193237,1.0,0.9162303664921466
work_dir/clustering_space/cls_kmeans/S_7,7,0.8293838862559242,1.0,0.9067357512953368
work_dir/clustering_space/cls_kmeans/S_19,19,0.9510869565217391,0.8462365591397849,0.8956034308975868
work_dir/clustering_space/cls_kmeans/S_5,5,0.7918552036199095,1.0,0.8838383838383839
work_dir/clustering_space/cls_kmeans/S_6,6,0.7777777777777778,1.0,0.8750000000000001
work_dir/clustering_space/cls_hierarchical/S_5,5,0.7575757575757576,1.0,0.8620689655172413
work_dir/clustering_space/cls_kmeans/S_4,4,0.7261410788381742,1.0,0.8413461538461537
work_dir/clustering_space/cls_hierarchical/S_4,4,0.7261410788381742,1.0,0.8413461538461537
work_dir/clustering_space/cls_hierarchical/S_3,3,0.7261410788381742,1.0,0.8413461538461537
work_dir/clustering_space/cls_kmeans/S_3,3,0.7172131147540983,1.0,0.8353221957040573
work_dir/clustering_space/cls_kmeans/S_2,2,0.7028112449799196,1.0,0.8254716981132075
work_dir/clustering_space/cls_hierarchical/S_2,2,0.7028112449799196,1.0,0.8254716981132075
work_dir/clustering_space/cls_dbscan/S_0,0,0.603448275862069,1.0,0.7526881720430108
