ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_hierarchical/S_11,11,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_10,10,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_10,10,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_9,9,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_9,9,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_8,8,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_8,8,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_7,7,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_7,7,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_6,6,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_5,5,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_3,3,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_3,3,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_2,2,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_hierarchical/S_2,2,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_dbscan/S_0,0,0.9702970297029703,1.0,0.9849246231155778
work_dir/clustering_space/cls_kmeans/S_13,13,1.0,0.6697662729328977,0.8022275737507526
work_dir/clustering_space/cls_kmeans/S_11,11,0.9702970297029703,0.6810756471475246,0.8003592244127947
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,0.6456396079416938,0.7846670739156993
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,0.6313144006031666,0.7739947619781236
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.6272932897712993,0.7709652509652509
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.6240261372204071,0.7684927267099968
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.5928625282734356,0.7443988639949511
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.4470972606182458,0.6179228898923237
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.3422970595627042,0.510016850777008
work_dir/clustering_space/cls_kmeans/S_17,17,1.0,0.31314400603166626,0.47693779904306227
work_dir/clustering_space/cls_kmeans/S_16,16,1.0,0.30434782608695654,0.4666666666666667
work_dir/clustering_space/cls_kmeans/S_18,18,1.0,0.2882633827594873,0.44752243464689817
work_dir/clustering_space/cls_kmeans/S_19,19,1.0,0.25383262126162354,0.4048907596712768
work_dir/clustering_space/cls_hierarchical/S_16,16,1.0,0.21135963810002514,0.3489626556016598
work_dir/clustering_space/cls_hierarchical/S_17,17,1.0,0.1671274189494848,0.2863910422049957
work_dir/clustering_space/cls_hierarchical/S_18,18,1.0,0.14249811510429755,0.24945006599208097
work_dir/clustering_space/cls_hierarchical/S_19,19,1.0,0.10605679819050012,0.19177459668257216
