1
C6
1
C5
32
C6	C0	HashSet
C0	C3	remove:TRUE
C0	C0	size
C3	C0	isEmpty:FALSE
C0	C4	contains:TRUE
C3	C0	add:TRUE
C0	C0	contains:FALSE
C3	C0	remove:FALSE
C0	C0	add:FALSE
C4	C4	contains:TRUE
C4	C0	iterator
C0	C5	<END>
C3	C0	isEmpty:TRUE
C0	C0	iterator
C4	C3	remove:TRUE
C3	C0	size
C4	C0	contains:FALSE
C0	C0	isEmpty:FALSE
C4	C0	add:TRUE
C3	C5	<END>
C4	C0	remove:FALSE
C4	C0	size
C0	C0	remove:FALSE
C0	C0	add:TRUE
C3	C0	contains:FALSE
C3	C3	remove:TRUE
C4	C0	isEmpty:FALSE
C3	C0	add:FALSE
C4	C0	add:FALSE
C3	C0	iterator
C0	C0	isEmpty:TRUE
C4	C5	<END>
