ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_11,11,0.9646017699115044,1.0,0.9819819819819819
work_dir/clustering_space/cls_hierarchical/S_11,11,0.9646017699115044,1.0,0.9819819819819819
work_dir/clustering_space/cls_kmeans/S_10,10,0.956140350877193,1.0,0.9775784753363228
work_dir/clustering_space/cls_hierarchical/S_10,10,0.956140350877193,1.0,0.9775784753363228
work_dir/clustering_space/cls_kmeans/S_9,9,0.9316239316239316,1.0,0.9646017699115045
work_dir/clustering_space/cls_hierarchical/S_9,9,0.923728813559322,1.0,0.960352422907489
work_dir/clustering_space/cls_kmeans/S_8,8,0.9159663865546218,1.0,0.9561403508771931
work_dir/clustering_space/cls_hierarchical/S_8,8,0.9159663865546218,1.0,0.9561403508771931
work_dir/clustering_space/cls_kmeans/S_7,7,0.9159663865546218,1.0,0.9561403508771931
work_dir/clustering_space/cls_hierarchical/S_7,7,0.9083333333333333,1.0,0.9519650655021834
work_dir/clustering_space/cls_kmeans/S_6,6,0.9083333333333333,1.0,0.9519650655021834
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9083333333333333,1.0,0.9519650655021834
work_dir/clustering_space/cls_kmeans/S_5,5,0.9083333333333333,1.0,0.9519650655021834
work_dir/clustering_space/cls_hierarchical/S_5,5,0.9083333333333333,1.0,0.9519650655021834
work_dir/clustering_space/cls_kmeans/S_4,4,0.9008264462809917,1.0,0.9478260869565218
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9008264462809917,1.0,0.9478260869565218
work_dir/clustering_space/cls_kmeans/S_3,3,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space/cls_hierarchical/S_3,3,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space/cls_kmeans/S_2,2,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space/cls_hierarchical/S_2,2,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space/cls_dbscan/S_0,0,0.8934426229508197,1.0,0.9437229437229437
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.8016049326744344,0.8898787055211637
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.777394931314322,0.8747576777879809
work_dir/clustering_space/cls_kmeans/S_13,13,0.9646017699115044,0.7444802103640568,0.8403656897318317
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.7222650405766877,0.8387385490154786
work_dir/clustering_space/cls_hierarchical/S_16,16,1.0,0.7199075123543546,0.8371467735132855
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.7041755451784014,0.8264119822288436
work_dir/clustering_space/cls_hierarchical/S_17,17,1.0,0.6614680146892143,0.7962452588206401
work_dir/clustering_space/cls_kmeans/S_18,18,1.0,0.6564355986761572,0.7925881322531202
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.5625425035136238,0.7200348179312346
work_dir/clustering_space/cls_hierarchical/S_18,18,1.0,0.5603663236160856,0.7182497021820612
work_dir/clustering_space/cls_kmeans/S_19,19,1.0,0.49929727524142,0.6660417296643484
work_dir/clustering_space/cls_hierarchical/S_19,19,1.0,0.45699777848302126,0.6273143106077107
work_dir/clustering_space/cls_kmeans/S_17,17,1.0,0.41741850659654534,0.5889841351074719
work_dir/clustering_space/cls_kmeans/S_16,16,1.0,0.3433830529990479,0.5112213560122844
