ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_8,8,0.967741935483871,1.0,0.9836065573770492
work_dir/clustering_space/cls_hierarchical/S_8,8,0.967741935483871,1.0,0.9836065573770492
work_dir/clustering_space/cls_hierarchical/S_7,7,0.967741935483871,1.0,0.9836065573770492
work_dir/clustering_space/cls_kmeans/S_7,7,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_kmeans/S_6,6,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_hierarchical/S_5,5,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_kmeans/S_4,4,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9523809523809523,1.0,0.975609756097561
work_dir/clustering_space/cls_kmeans/S_5,5,0.9375,1.0,0.967741935483871
work_dir/clustering_space/cls_kmeans/S_3,3,0.9375,1.0,0.967741935483871
work_dir/clustering_space/cls_hierarchical/S_3,3,0.9375,1.0,0.967741935483871
work_dir/clustering_space/cls_kmeans/S_2,2,0.9375,1.0,0.967741935483871
work_dir/clustering_space/cls_hierarchical/S_2,2,0.9375,1.0,0.967741935483871
work_dir/clustering_space/cls_dbscan/S_0,0,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space/cls_kmeans/S_10,10,1.0,0.7731979695431472,0.8720943547463644
work_dir/clustering_space/cls_hierarchical/S_10,10,1.0,0.7731979695431472,0.8720943547463644
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,0.5880203045685279,0.7405702595576014
work_dir/clustering_space/cls_hierarchical/S_11,11,1.0,0.5496446700507615,0.7093815513626835
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,0.4633502538071066,0.6332732066046899
work_dir/clustering_space/cls_kmeans/S_13,13,1.0,0.41868020304568526,0.5902390153141548
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.40893401015228426,0.5804871018878801
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.34274111675126906,0.510509602298503
work_dir/clustering_space/cls_kmeans/S_11,11,1.0,0.3260913705583756,0.4918082988822538
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.32426395939086294,0.4897270775835633
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.2966497461928934,0.4575634199812089
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.15614213197969543,0.2701088865472427
work_dir/clustering_space/cls_hierarchical/S_17,17,1.0,0.13928934010152283,0.24451969345927643
work_dir/clustering_space/cls_hierarchical/S_16,16,1.0,0.13928934010152283,0.24451969345927643
work_dir/clustering_space/cls_hierarchical/S_18,18,1.0,0.13238578680203045,0.23381746458669536
work_dir/clustering_space/cls_kmeans/S_17,17,1.0,0.12345177664974619,0.2197722754382794
work_dir/clustering_space/cls_kmeans/S_16,16,1.0,0.12223350253807107,0.21783969603763345
work_dir/clustering_space/cls_hierarchical/S_19,19,1.0,0.11776649746192894,0.21071752951861944
work_dir/clustering_space/cls_kmeans/S_19,19,1.0,0.09786802030456852,0.17828740521546144
work_dir/clustering_space/cls_kmeans/S_18,18,1.0,0.09421319796954315,0.17220263499721658
