1
CSTART
1
CEND
52
CSTART	C3	LinkedList
C3	CEND	<END>
C1	C0	listIterator
C5	C1	addLast
C5	C5	remove:FALSE
C1	C3	remove:TRUE
C5	C2	toArray
C2	C5	remove:FALSE
C5	CEND	<END>
C2	C0	remove:TRUE
C0	C1	addLast
C1	C3	listIterator
C1	C4	add:TRUE
C2	C1	remove
C1	C3	size
C1	C1	remove
C4	C1	addLast
C1	C5	remove:FALSE
C3	C5	remove:FALSE
C0	C5	remove:FALSE
C1	C2	toArray
C3	C1	addLast
C4	C4	add:TRUE
C4	C5	remove:FALSE
C2	C0	add
C4	C1	remove
C4	C3	listIterator
C5	C0	listIterator
C1	C1	addLast
C0	C0	remove:TRUE
C0	C0	listIterator
C3	C4	add:TRUE
C0	C1	remove
C3	C1	remove
C3	C3	remove:TRUE
C2	CEND	<END>
C3	C3	listIterator
C3	C3	size
C0	C4	add:TRUE
C5	C5	size
C5	C1	remove
C1	CEND	<END>
C4	C3	remove:TRUE
C3	C2	toArray
C0	C0	size
C0	C2	toArray
C2	C1	addLast
C4	C2	toArray
C4	CEND	<END>
C2	C4	add:TRUE
C4	C3	size
C0	CEND	<END>
