ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_7,7,0.9195402298850575,1.0,0.9580838323353293
work_dir/clustering_space/cls_kmeans/S_6,6,0.9195402298850575,1.0,0.9580838323353293
work_dir/clustering_space/cls_hierarchical/S_6,6,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_kmeans/S_5,5,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_hierarchical/S_5,5,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_kmeans/S_4,4,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_hierarchical/S_4,4,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_kmeans/S_3,3,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_hierarchical/S_3,3,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_kmeans/S_2,2,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_hierarchical/S_2,2,0.898876404494382,1.0,0.9467455621301775
work_dir/clustering_space/cls_hierarchical/S_7,7,0.898876404494382,0.9599056603773585,0.928389147883609
work_dir/clustering_space/cls_kmeans/S_9,9,0.9411764705882353,0.910377358490566,0.9255207552824816
work_dir/clustering_space/cls_kmeans/S_12,12,0.9411764705882353,0.8844339622641509,0.9119233984345315
work_dir/clustering_space/cls_kmeans/S_11,11,0.9302325581395349,0.8490566037735849,0.8877928483353884
work_dir/clustering_space/cls_dbscan/S_0,0,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space/cls_hierarchical/S_8,8,0.9090909090909091,0.8514150943396226,0.8793082450371452
work_dir/clustering_space/cls_hierarchical/S_9,9,0.9090909090909091,0.839622641509434,0.8729769494850417
work_dir/clustering_space/cls_kmeans/S_8,8,0.9195402298850575,0.8278301886792453,0.8712785267697845
work_dir/clustering_space/cls_kmeans/S_10,10,0.9090909090909091,0.8136792452830188,0.8587429993777224
work_dir/clustering_space/cls_hierarchical/S_12,12,0.9090909090909091,0.7358490566037735,0.8133472367049008
work_dir/clustering_space/cls_hierarchical/S_11,11,0.9090909090909091,0.7358490566037735,0.8133472367049008
work_dir/clustering_space/cls_hierarchical/S_10,10,0.9090909090909091,0.7358490566037735,0.8133472367049008
work_dir/clustering_space/cls_kmeans/S_13,13,0.9195402298850575,0.7287735849056604,0.8131177737940561
work_dir/clustering_space/cls_hierarchical/S_13,13,0.9090909090909091,0.660377358490566,0.7650273224043715
work_dir/clustering_space/cls_kmeans/S_14,14,0.9302325581395349,0.6415094339622641,0.7593523171412618
work_dir/clustering_space/cls_hierarchical/S_14,14,0.9523809523809523,0.6061320754716981,0.7407941197665202
work_dir/clustering_space/cls_hierarchical/S_15,15,0.9523809523809523,0.5919811320754716,0.7301287179114245
work_dir/clustering_space/cls_hierarchical/S_16,16,0.963855421686747,0.5778301886792453,0.7225140540042393
work_dir/clustering_space/cls_kmeans/S_17,17,0.9411764705882353,0.5825471698113207,0.7196576527360466
work_dir/clustering_space/cls_kmeans/S_16,16,0.9302325581395349,0.5518867924528302,0.6927688550070313
work_dir/clustering_space/cls_hierarchical/S_17,17,0.963855421686747,0.5259433962264151,0.6805393961357264
work_dir/clustering_space/cls_hierarchical/S_18,18,0.963855421686747,0.4811320754716981,0.641862660269016
work_dir/clustering_space/cls_kmeans/S_19,19,0.963855421686747,0.4693396226415094,0.6312825901619843
work_dir/clustering_space/cls_kmeans/S_18,18,0.9523809523809523,0.4716981132075472,0.6309148264984228
work_dir/clustering_space/cls_hierarchical/S_19,19,0.963855421686747,0.45754716981132076,0.6205269681340211
work_dir/clustering_space/cls_kmeans/S_15,15,0.963855421686747,0.45047169811320753,0.6139875032648222
