ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_8,8,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_8,8,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_7,7,0.9795918367346939,1.0,0.9896907216494846
work_dir/clustering_space/cls_hierarchical/S_7,7,0.96,1.0,0.9795918367346939
work_dir/clustering_space/cls_kmeans/S_6,6,0.9411764705882353,1.0,0.9696969696969697
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9411764705882353,1.0,0.9696969696969697
work_dir/clustering_space/cls_kmeans/S_5,5,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space/cls_hierarchical/S_5,5,0.8888888888888888,1.0,0.9411764705882353
work_dir/clustering_space/cls_kmeans/S_4,4,0.8727272727272727,1.0,0.9320388349514563
work_dir/clustering_space/cls_hierarchical/S_4,4,0.8727272727272727,1.0,0.9320388349514563
work_dir/clustering_space/cls_kmeans/S_3,3,0.8135593220338984,1.0,0.897196261682243
work_dir/clustering_space/cls_hierarchical/S_3,3,0.8135593220338984,1.0,0.897196261682243
work_dir/clustering_space/cls_hierarchical/S_2,2,0.7868852459016393,1.0,0.8807339449541284
work_dir/clustering_space/cls_kmeans/S_2,2,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space/cls_dbscan/S_0,0,0.7384615384615385,1.0,0.8495575221238938
work_dir/clustering_space/cls_kmeans/S_10,10,1.0,0.6705436487192891,0.802784948760072
work_dir/clustering_space/cls_hierarchical/S_10,10,1.0,0.6705436487192891,0.802784948760072
work_dir/clustering_space/cls_hierarchical/S_11,11,1.0,0.6644014636696288,0.7983668341708543
work_dir/clustering_space/cls_kmeans/S_11,11,1.0,0.4665446941975954,0.6362502227766886
work_dir/clustering_space/cls_kmeans/S_13,13,1.0,0.3369053842132776,0.5040078201368524
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,0.3295870360690016,0.4957735403970906
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,0.3239675901725039,0.48938900404698454
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.2861996863565081,0.4450314976630766
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.2861996863565081,0.4450314976630766
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.28332462101411393,0.4415478615071283
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.2652901202300052,0.4193348481718652
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.169106116048092,0.28929130337581044
work_dir/clustering_space/cls_kmeans/S_16,16,1.0,0.1478044955567172,0.257542980758283
work_dir/clustering_space/cls_kmeans/S_17,17,1.0,0.14610559330893885,0.25496009122006846
work_dir/clustering_space/cls_hierarchical/S_16,16,1.0,0.13669628855201255,0.2405150609335479
work_dir/clustering_space/cls_kmeans/S_19,19,1.0,0.1310768426555149,0.23177354130560368
work_dir/clustering_space/cls_hierarchical/S_17,17,1.0,0.12715629900679562,0.22562318840579712
work_dir/clustering_space/cls_hierarchical/S_18,18,1.0,0.11421850496602196,0.20501993901008678
work_dir/clustering_space/cls_hierarchical/S_19,19,1.0,0.10507056978567694,0.1901608325449385
work_dir/clustering_space/cls_kmeans/S_18,18,1.0,0.0733141662310507,0.1366126872032144
