ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_5,5,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_5,5,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_4,4,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_hierarchical/S_4,4,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_kmeans/S_3,3,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_hierarchical/S_3,3,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_kmeans/S_2,2,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_hierarchical/S_2,2,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_dbscan/S_0,0,0.8823529411764706,1.0,0.9375
work_dir/clustering_space/cls_hierarchical/S_6,6,1.0,0.3020145589977992,0.46391886620725525
work_dir/clustering_space/cls_kmeans/S_6,6,1.0,0.21195192144912817,0.3497695208828049
work_dir/clustering_space/cls_kmeans/S_7,7,1.0,0.0542576604029118,0.10293054997992775
work_dir/clustering_space/cls_kmeans/S_8,8,1.0,0.03064161164719824,0.05946123521681998
work_dir/clustering_space/cls_hierarchical/S_7,7,1.0,0.011088539021499916,0.02193386354123064
work_dir/clustering_space/cls_hierarchical/S_8,8,1.0,0.006602336211274758,0.013118062563067606
