ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_19,19,0.9795918367346939,1.0,0.9896907216494846
work_dir/clustering_space/cls_hierarchical/S_19,19,0.9795918367346939,1.0,0.9896907216494846
work_dir/clustering_space/cls_kmeans/S_18,18,0.9411764705882353,1.0,0.9696969696969697
work_dir/clustering_space/cls_kmeans/S_17,17,0.9411764705882353,1.0,0.9696969696969697
work_dir/clustering_space/cls_kmeans/S_15,15,0.935933147632312,1.0,0.9669064748201438
work_dir/clustering_space/cls_hierarchical/S_17,17,0.9333333333333333,1.0,0.9655172413793104
work_dir/clustering_space/cls_hierarchical/S_18,18,0.9307479224376731,1.0,0.9641319942611191
work_dir/clustering_space/cls_hierarchical/S_16,16,0.9307479224376731,1.0,0.9641319942611191
work_dir/clustering_space/cls_hierarchical/S_15,15,0.9307479224376731,1.0,0.9641319942611191
work_dir/clustering_space/cls_hierarchical/S_14,14,0.9307479224376731,1.0,0.9641319942611191
work_dir/clustering_space/cls_kmeans/S_16,16,0.9281767955801105,1.0,0.9627507163323783
work_dir/clustering_space/cls_kmeans/S_11,11,0.9281767955801105,1.0,0.9627507163323783
work_dir/clustering_space/cls_kmeans/S_12,12,0.9256198347107438,1.0,0.9613733905579399
work_dir/clustering_space/cls_kmeans/S_10,10,0.9230769230769231,1.0,0.9600000000000001
work_dir/clustering_space/cls_hierarchical/S_13,13,0.9205479452054794,1.0,0.9586305278174037
work_dir/clustering_space/cls_kmeans/S_14,14,0.9155313351498637,1.0,0.9559032716927454
work_dir/clustering_space/cls_hierarchical/S_12,12,0.9155313351498637,1.0,0.9559032716927454
work_dir/clustering_space/cls_hierarchical/S_11,11,0.9155313351498637,1.0,0.9559032716927454
work_dir/clustering_space/cls_hierarchical/S_10,10,0.9155313351498637,1.0,0.9559032716927454
work_dir/clustering_space/cls_kmeans/S_9,9,0.9155313351498637,1.0,0.9559032716927454
work_dir/clustering_space/cls_kmeans/S_13,13,0.9130434782608695,1.0,0.9545454545454545
work_dir/clustering_space/cls_hierarchical/S_9,9,0.896,1.0,0.9451476793248946
work_dir/clustering_space/cls_kmeans/S_7,7,0.8888888888888888,1.0,0.9411764705882353
work_dir/clustering_space/cls_kmeans/S_8,8,0.8865435356200527,1.0,0.9398601398601398
work_dir/clustering_space/cls_hierarchical/S_8,8,0.8865435356200527,1.0,0.9398601398601398
work_dir/clustering_space/cls_hierarchical/S_7,7,0.8818897637795275,1.0,0.9372384937238494
work_dir/clustering_space/cls_hierarchical/S_6,6,0.8772845953002611,1.0,0.9346314325452018
work_dir/clustering_space/cls_kmeans/S_5,5,0.8772845953002611,1.0,0.9346314325452018
work_dir/clustering_space/cls_hierarchical/S_5,5,0.8704663212435233,1.0,0.9307479224376731
work_dir/clustering_space/cls_kmeans/S_4,4,0.8704663212435233,1.0,0.9307479224376731
work_dir/clustering_space/cls_hierarchical/S_4,4,0.8615384615384616,1.0,0.9256198347107438
work_dir/clustering_space/cls_hierarchical/S_3,3,0.8615384615384616,1.0,0.9256198347107438
work_dir/clustering_space/cls_kmeans/S_6,6,0.8593350383631714,1.0,0.9243466299862448
work_dir/clustering_space/cls_kmeans/S_3,3,0.8463476070528967,1.0,0.9167803547066848
work_dir/clustering_space/cls_kmeans/S_2,2,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space/cls_hierarchical/S_2,2,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space/cls_dbscan/S_0,0,0.8379052369077307,1.0,0.9118046132971506
