ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_10,10,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_10,10,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_9,9,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_8,8,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_8,8,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_7,7,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_hierarchical/S_7,7,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_kmeans/S_6,6,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_kmeans/S_5,5,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_hierarchical/S_5,5,0.9864864864864865,1.0,0.9931972789115647
work_dir/clustering_space/cls_kmeans/S_11,11,1.0,0.9820589157004074,0.9909482588244595
work_dir/clustering_space/cls_hierarchical/S_11,11,1.0,0.9820589157004074,0.9909482588244595
work_dir/clustering_space/cls_kmeans/S_4,4,0.9605263157894737,1.0,0.9798657718120806
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9605263157894737,1.0,0.9798657718120806
work_dir/clustering_space/cls_kmeans/S_3,3,0.9240506329113924,1.0,0.9605263157894737
work_dir/clustering_space/cls_hierarchical/S_3,3,0.9240506329113924,1.0,0.9605263157894737
work_dir/clustering_space/cls_kmeans/S_2,2,0.9240506329113924,1.0,0.9605263157894737
work_dir/clustering_space/cls_hierarchical/S_2,2,0.9240506329113924,1.0,0.9605263157894737
work_dir/clustering_space/cls_dbscan/S_0,0,0.8902439024390244,1.0,0.9419354838709678
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,0.7847069884048887,0.8793678665496049
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,0.7746004387339392,0.8729857401439229
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.7140394860545284,0.8331657372703173
work_dir/clustering_space/cls_kmeans/S_13,13,1.0,0.6747101222187402,0.8057634730538922
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.6101535568787214,0.757882444530946
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.49710122218740205,0.664084986132189
work_dir/clustering_space/cls_kmeans/S_16,16,1.0,0.4941240990285177,0.6614231031408946
work_dir/clustering_space/cls_hierarchical/S_16,16,1.0,0.428862425571921,0.6002851189823446
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.428862425571921,0.6002851189823446
work_dir/clustering_space/cls_hierarchical/S_17,17,1.0,0.4099028517706048,0.5814625472327183
work_dir/clustering_space/cls_hierarchical/S_18,18,1.0,0.39963961140708243,0.571060733277358
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.36407082419304293,0.5338004709666302
work_dir/clustering_space/cls_kmeans/S_17,17,1.0,0.34283923534942023,0.5106184364060676
work_dir/clustering_space/cls_hierarchical/S_19,19,1.0,0.3350047007207772,0.5018779342723004
work_dir/clustering_space/cls_kmeans/S_18,18,1.0,0.31291131306800374,0.47666786012650675
work_dir/clustering_space/cls_kmeans/S_19,19,1.0,0.2626136007521153,0.41598411516505335
