ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_5,5,1.0,1.0,1.0
work_dir/clustering_space/cls_hierarchical/S_5,5,1.0,1.0,1.0
work_dir/clustering_space/cls_kmeans/S_4,4,0.9333333333333333,1.0,0.9655172413793104
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9333333333333333,1.0,0.9655172413793104
work_dir/clustering_space/cls_kmeans/S_3,3,0.9333333333333333,1.0,0.9655172413793104
work_dir/clustering_space/cls_hierarchical/S_3,3,0.9333333333333333,1.0,0.9655172413793104
work_dir/clustering_space/cls_kmeans/S_2,2,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space/cls_hierarchical/S_2,2,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space/cls_dbscan/S_0,0,0.8235294117647058,1.0,0.9032258064516129
work_dir/clustering_space/cls_kmeans/S_6,6,1.0,0.007560727116735482,0.015007982969664716
work_dir/clustering_space/cls_hierarchical/S_6,6,1.0,0.007560727116735482,0.015007982969664716
work_dir/clustering_space/cls_hierarchical/S_7,7,1.0,0.006059306129014961,0.012045624133887644
work_dir/clustering_space/cls_kmeans/S_7,7,1.0,0.0026274867285109122,0.005241202267622205
