ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space/cls_kmeans/S_6,6,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_kmeans/S_5,5,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_hierarchical/S_5,5,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_kmeans/S_4,4,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_hierarchical/S_4,4,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_kmeans/S_3,3,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_hierarchical/S_3,3,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_kmeans/S_2,2,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_hierarchical/S_2,2,0.9473684210526315,1.0,0.972972972972973
work_dir/clustering_space/cls_hierarchical/S_6,6,0.9473684210526315,0.9666149068322981,0.9568948952795747
work_dir/clustering_space/cls_dbscan/S_0,0,0.6923076923076923,1.0,0.8181818181818181
work_dir/clustering_space/cls_kmeans/S_7,7,1.0,0.6005434782608695,0.7504244482173174
work_dir/clustering_space/cls_kmeans/S_8,8,1.0,0.45962732919254656,0.6297872340425532
work_dir/clustering_space/cls_hierarchical/S_7,7,0.9473684210526315,0.32065217391304346,0.47913376945635006
work_dir/clustering_space/cls_kmeans/S_12,12,1.0,0.2841614906832298,0.4425634824667473
work_dir/clustering_space/cls_kmeans/S_11,11,1.0,0.08579192546583851,0.15802645691812656
work_dir/clustering_space/cls_hierarchical/S_8,8,1.0,0.055900621118012424,0.10588235294117647
work_dir/clustering_space/cls_kmeans/S_9,9,1.0,0.05434782608695652,0.10309278350515463
work_dir/clustering_space/cls_kmeans/S_10,10,1.0,0.03881987577639751,0.07473841554559042
work_dir/clustering_space/cls_hierarchical/S_13,13,1.0,0.02872670807453416,0.05584905660377358
work_dir/clustering_space/cls_hierarchical/S_12,12,1.0,0.02872670807453416,0.05584905660377358
work_dir/clustering_space/cls_hierarchical/S_11,11,1.0,0.02872670807453416,0.05584905660377358
work_dir/clustering_space/cls_hierarchical/S_10,10,1.0,0.02872670807453416,0.05584905660377358
work_dir/clustering_space/cls_hierarchical/S_9,9,1.0,0.02872670807453416,0.05584905660377358
work_dir/clustering_space/cls_kmeans/S_13,13,1.0,0.027562111801242236,0.05364563656970155
work_dir/clustering_space/cls_hierarchical/S_14,14,1.0,0.023291925465838508,0.04552352048558422
work_dir/clustering_space/cls_kmeans/S_14,14,1.0,0.022127329192546584,0.04329661982529434
work_dir/clustering_space/cls_hierarchical/S_15,15,1.0,0.017857142857142856,0.03508771929824561
work_dir/clustering_space/cls_kmeans/S_15,15,1.0,0.016692546583850932,0.032836960672012215
